code_experimentation,debitCO2_g,elapsedtime_s
PR06-01-23F02,0.015414,9300
PR06-01-23F02,0.017451,10500
PR06-01-23F02,0.015926,11700
PR06-01-23F02,0.017424,12900
PR06-01-23F02,0.013521,14100
PR06-01-23F02,0.016157,15300
PR06-01-23F02,0.016451,16500
PR06-01-23F02,0.015034,17700
PR06-01-23F02,0.01212,18960
PR06-01-23F02,0.012042,20160
PR06-01-23F02,0.011437,21360
PR06-01-23F02,0.012481,22560
PR06-01-23F02,0.01242,23760
PR06-01-23F02,0.008842,24960
PR06-01-23F02,0.011379,26160
PR06-01-23F02,0.011892,27360
PR06-01-23F02,0.009089,28620
PR06-01-23F02,0.011542,29820
PR06-01-23F02,0.008401,31020
PR06-01-23F02,0.012838,32220
PR06-01-23F02,0.01211,33420
PR06-01-23F02,0.011363,34620
PR06-01-23F02,0.011912,35820
PR06-01-23F02,0.014187,37080
PR06-01-23F02,0.016965,38280
PR06-01-23F02,0.018859,39960
PR06-01-23F02,0.020645,41160
PR06-01-23F02,0.020374,42360
PR06-01-23F02,0.022532,43560
PR06-01-23F02,0.026372,44760
PR06-01-23F02,0.026852,45960
PR06-01-23F02,0.033384,47160
PR06-01-23F02,0.033591,48360
PR06-01-23F02,0.027422,49560
PR06-01-23F02,0.038338,50760
PR06-01-23F02,0.034762,52020
PR06-01-23F02,0.047881,53220
PR06-01-23F02,0.05112,54420
PR06-01-23F02,0.065815,55620
PR06-01-23F02,0.069128,56880
PR06-01-23F02,0.084745,59100
PR06-01-23F02,0.055332,60300
PR06-01-23F02,0.041698,61560
PR06-01-23F02,0.051132,62760
PR06-01-23F02,0.081363,63960
PR06-01-23F02,0.132034,65880
PR06-01-23F02,0.105238,67080
PR06-01-23F02,0.078758,68280
PR06-01-23F02,0.120013,69480
PR06-01-23F02,0.147302,70740
PR06-01-23F02,0.17839,71940
PR06-01-23F02,0.206285,73140
PR06-01-23F02,0.2409,74340
PR06-01-23F02,0.292299,75540
PR06-01-23F02,0.371279,76740
PR06-01-23F02,0.231201,77940
PR06-01-23F02,0.228719,79140
PR06-01-23F02,0.227606,80340
PR06-01-23F02,0.2529,81600
PR06-01-23F02,0.382731,87000
PR06-01-23F02,0.387568,88200
PR06-01-23F02,0.35228,89400
PR06-01-23F02,0.326967,90600
PR06-01-23F02,0.346636,91800
PR06-01-23F02,0.384502,93000
PR06-01-23F02,0.396041,94200
PR06-01-23F02,0.418819,95400
PR06-01-23F02,0.439068,96600
PR06-01-23F02,0.463893,97800
PR06-01-23F02,0.475934,99000
PR06-01-23F02,0.489598,100200
PR06-01-23F02,0.489705,101400
PR06-01-23F02,0.51926,102600
PR06-01-23F02,0.530699,103800
PR06-01-23F02,0.525954,105060
PR06-01-23F02,0.542957,106260
PR06-01-23F02,0.56447,107460
PR06-01-23F02,0.614104,108660
PR06-01-23F02,0.640045,109860
PR06-01-23F02,0.649601,111060
PR06-01-23F02,0.666697,112260
PR06-01-23F02,0.705095,113460
PR06-01-23F02,0.714134,114720
PR06-01-23F02,0.70324,115920
PR06-01-23F02,0.696442,117120
PR06-01-23F02,0.69548,118320
PR06-01-23F02,0.697619,119520
PR06-01-23F02,0.706319,120720
PR06-01-23F02,0.719106,121920
PR06-01-23F02,0.735647,123180
PR06-01-23F02,0.757756,124380
PR06-01-23F02,0.766865,125580
PR06-01-23F02,0.781699,126780
PR06-01-23F02,0.786509,127980
PR06-01-23F02,0.800937,129180
PR06-01-23F02,0.770313,130380
PR06-01-23F02,0.763851,131640
PR06-01-23F02,0.74388,133320
PR06-01-23F02,0.753211,134520
PR06-01-23F02,0.756017,135720
PR06-01-23F02,0.744412,138360
PR06-01-23F02,0.743648,139620
PR06-01-23F02,0.739583,140820
PR06-01-23F02,0.736234,142020
PR06-01-23F02,0.72634,143220
PR06-01-23F02,0.731609,144420
PR06-01-23F02,0.729932,145620
PR06-01-23F02,0.718618,146880
PR06-01-23F02,0.718259,148080
PR06-01-23F02,0.712738,149280
PR06-01-23F02,0.707158,150480
PR06-01-23F02,0.703197,151680
PR06-01-23F02,0.699493,152940
PR06-01-23F02,0.700681,154140
PR06-01-23F02,0.682586,155340
PR06-01-23F02,0.673768,156540
PR06-01-23F02,0.678216,157740
PR06-01-23F02,0.666448,158940
PR06-01-23F02,0.663022,160140
PR06-01-23F02,0.655345,161340
PR06-01-23F02,0.651105,162540
PR06-01-23F02,0.643756,163740
PR06-01-23F02,0.641174,164940
PR06-01-23F02,0.628632,166140
PR06-01-23F02,0.630374,167400
PR06-01-23F02,0.619857,168600
PR06-01-23F02,0.615709,169800
PR06-01-23F02,0.606738,171000
PR06-01-23F02,0.604831,172200
PR06-01-23F02,0.595168,173460
PR06-01-23F02,0.590106,174660
PR06-01-23F02,0.579521,175860
PR06-01-23F02,0.577283,177060
PR06-01-23F02,0.574005,178260
PR06-01-23F02,0.570041,179460
PR06-01-23F02,0.573198,180660
PR06-01-23F02,0.558904,181920
PR06-01-23F02,0.575828,183120
PR06-01-23F02,0.561689,184320
PR06-01-23F02,0.576855,185520
PR06-01-23F02,0.567853,186720
PR06-01-23F02,0.557086,187920
PR06-01-23F02,0.538994,189360
PR06-01-23F02,0.548047,190560
PR06-01-23F02,0.543871,191760
PR06-01-23F02,0.557052,193020
PR06-01-23F02,0.549099,194220
PR06-01-23F02,0.556994,195420
PR06-01-23F02,0.54473,196620
PR06-01-23F02,0.552093,197820
PR06-01-23F02,0.545691,199020
PR06-01-23F02,0.532519,200280
PR06-01-23F02,0.55961,201480
PR06-01-23F02,0.542571,202680
PR06-01-23F02,0.538573,203880
PR06-01-23F02,0.535722,205080
PR06-01-23F02,0.53809,206280
PR06-01-23F02,0.531948,207540
PR06-01-23F02,0.533685,208740
PR06-01-23F02,0.53522,209940
PR06-01-23F02,0.540875,211140
PR06-01-23F02,0.532264,212340
PR06-01-23F02,0.529498,213540
PR06-01-23F02,0.530518,214740
PR06-01-23F02,0.526208,215940
PR06-01-23F02,0.525106,217140
PR06-01-23F02,0.522008,218340
PR06-01-23F02,0.515747,219600
PR06-01-23F02,0.521219,220800
PR06-01-23F02,0.530784,222000
PR06-01-23F02,0.515578,223200
PR06-01-23F02,0.515957,224640
PR06-01-23F02,0.509,225840
PR06-01-23F02,0.505017,227040
PR06-01-23F02,0.51392,228240
PR06-01-23F02,0.512762,229500
PR06-01-23F02,0.505304,230700
PR06-01-23F02,0.501835,231900
PR06-01-23F02,0.503586,233100
PR06-01-23F02,0.500638,234300
PR06-01-23F02,0.500228,235500
PR06-01-23F02,0.509527,236700
PR06-01-23F02,0.504586,237900
PR06-01-23F02,0.494147,239100
PR06-01-23F02,0.505407,240300
PR06-01-23F02,0.491284,241500
PR06-01-23F02,0.492677,242760
PR06-01-23F02,0.498261,244020
PR06-01-23F02,0.492623,245220
PR06-01-23F02,0.489671,246420
PR06-01-23F02,0.490153,247620
PR06-01-23F02,0.4841,248820
PR06-01-23F02,0.482296,250020
PR06-01-23F02,0.499571,251220
PR06-01-23F02,0.485571,252420
PR06-01-23F02,0.480926,253620
PR06-01-23F02,0.489398,254820
PR06-01-23F02,0.487503,256020
PR06-01-23F02,0.481202,257280
PR06-01-23F02,0.485222,258480
PR06-01-23F02,0.480808,259680
PR06-01-23F02,0.268986,266640
PR06-01-23F02,0.309474,267840
PR06-01-23F02,0.270364,269100
PR06-01-23F02,0.337346,270300
PR06-01-23F02,0.369295,272580
PR06-01-23F02,0.364,273780
PR06-01-23F02,0.390251,274980
PR06-01-23F02,0.40272,276180
PR06-01-23F02,0.619251,277380
PR06-01-23F02,0.513181,279120
PR06-01-23F02,0.564085,280320
PR06-01-23F02,0.593969,281520
PR06-01-23F02,0.647735,282720
PR06-01-23F02,0.65402,283920
PR06-01-23F02,0.669423,285180
PR06-01-23F02,0.697232,286380
PR06-01-23F02,0.713575,287580
PR06-01-23F02,0.735102,288780
PR06-01-23F02,0.734322,289980
PR06-01-23F02,0.792897,291180
PR06-01-23F02,0.762058,292380
PR06-01-23F02,0.785621,293580
PR06-01-23F02,0.780645,294840
PR06-01-23F02,0.797024,296040
PR06-01-23F02,0.797939,297240
PR06-01-23F02,0.8004,298440
PR06-01-23F02,0.810666,299640
PR06-01-23F02,0.81648,300840
PR06-01-23F02,0.821587,302040
PR06-01-23F02,0.838776,303240
PR06-01-23F02,0.845208,304440
PR06-01-23F02,0.849625,305700
PR06-01-23F02,0.851009,306900
PR06-01-23F02,0.857469,308100
PR06-01-23F02,0.865108,309300
PR06-01-23F02,0.876323,310500
PR06-01-23F02,0.905401,311700
PR06-01-23F02,0.860115,312900
PR06-01-23F02,0.852066,314100
PR06-01-23F02,0.831539,315300
PR06-01-23F02,0.835452,316560
PR06-01-23F02,0.82771,317760
PR06-01-23F02,0.806208,318960
PR06-01-23F02,0.819687,320160
PR06-01-23F02,0.821522,321360
PR06-01-23F02,0.810591,322560
PR06-01-23F02,0.814607,323760
PR06-01-23F02,0.81667,324960
PR06-01-23F02,0.79967,326160
PR06-01-23F02,0.795905,327360
PR06-01-23F02,0.793879,328560
PR06-01-23F02,0.788981,329760
PR06-01-23F02,0.794521,330960
PR06-01-23F02,0.780483,332160
PR06-01-23F02,0.780275,333360
PR06-01-23F02,0.770126,334620
PR06-01-23F02,0.767864,335820
PR06-01-23F02,0.755726,337020
PR06-01-23F02,0.746068,338220
PR06-01-23F02,0.745454,339420
PR06-01-23F02,0.756147,340620
PR06-01-23F02,0.751738,341820
PR06-01-23F02,0.729306,343080
PR06-01-23F02,0.727966,344280
PR06-01-23F02,0.724915,345480
PR06-01-23F02,0.743401,346680
PR06-01-23F02,0.733695,347880
PR06-01-23F02,0.718211,349200
PR06-01-23F02,0.708249,350400
PR06-01-23F02,0.710798,351600
PR06-01-23F02,0.700974,352860
PR06-01-23F02,0.705474,354240
PR06-01-23F02,0.669961,355440
PR06-01-23F02,0.702659,356700
PR06-01-23F02,0.69662,357900
PR06-01-23F02,0.691466,359100
PR06-01-23F02,0.684536,360300
PR06-01-23F02,0.669468,361500
PR06-01-23F02,0.67796,362700
PR06-01-23F02,0.680982,363900
PR06-01-23F02,0.685683,365100
PR06-01-23F02,0.670141,366300
PR06-01-23F02,0.658936,367560
PR06-01-23F02,0.655481,368760
PR06-01-23F02,0.663884,369960
PR06-01-23F02,0.649245,371160
PR06-01-23F02,0.612423,372360
PR06-01-23F02,0.650994,373560
PR06-01-23F02,0.659637,374820
PR06-01-23F02,0.657298,376020
PR06-01-23F02,0.649658,377220
PR06-01-23F02,0.649136,378420
PR06-01-23F02,0.646729,379620
PR06-01-23F02,0.632852,380820
PR06-01-23F02,0.631807,382020
PR06-01-23F02,0.621101,383220
PR06-01-23F02,0.632487,384420
PR06-01-23F02,0.628954,385620
PR06-01-23F02,0.624828,386820
PR06-01-23F02,0.623769,388020
PR06-01-23F02,0.618705,389280
PR06-01-23F02,0.613011,390480
PR06-01-23F02,0.623304,391680
PR06-01-23F02,0.608035,392880
PR06-01-23F02,0.617581,394080
PR06-01-23F02,0.603694,396480
PR06-01-23F02,0.593947,397680
PR06-01-23F02,0.591426,398880
PR06-01-23F02,0.600876,400080
PR06-01-23F02,0.594005,401340
PR06-01-23F02,0.585659,402540
PR06-01-23F02,0.588113,403740
PR06-01-23F02,0.585773,404940
PR06-01-23F02,0.580451,406140
PR06-01-23F02,0.57593,407340
PR06-01-23F02,0.579853,408540
PR06-01-23F02,0.570587,409740
PR06-01-23F02,0.574868,410940
PR06-01-23F02,0.581317,412140
PR06-01-23F02,0.568625,413340
PR06-01-23F02,0.563011,414540
PR06-01-23F02,0.561488,415740
PR06-01-23F02,0.56184,417000
